student,degree,act,scholarship,ap_courses,first_gen,non_traditional
502,No,21,0,0,No,No
503,Yes,27,0,0,No,No
504,Yes,34,2.5,0,No,No
505,Yes,32,0,0,Yes,No
506,No,20,0,0,No,No
507,Yes,23,0,0,Yes,No
508,Yes,23,1,4,No,No
509,No,22,0,0,Yes,No
510,Yes,25,0,23,Yes,No
511,Yes,24,0,0,Yes,No
512,Yes,30,0.5,4,Yes,No
513,Yes,28,0,4,Yes,No
514,No,24,0,11,No,No
515,Yes,27,0,8,Yes,No
516,Yes,30,1.75,0,Yes,No
517,Yes,26,0,0,Yes,No
518,Yes,24,0,0,Yes,No
519,Yes,18,0,0,No,No
520,Yes,24,0.125,0,Yes,No
521,No,30,0,8,Yes,No
522,No,22,1,0,Yes,No
523,Yes,25,0,0,Yes,No
524,Yes,31,2.5,31,Yes,No
525,Yes,25,2,4,Yes,No
526,Yes,26,0,0,Yes,No
527,Yes,28,0,4,Yes,No
528,Yes,30,0,4,Yes,No
529,No,23,0,0,Yes,No
530,Yes,24,0,11,Yes,No
531,No,19,0,0,No,No
532,Yes,33,0,8,Yes,No
533,No,20,0,0,No,No
534,No,24,0,0,Yes,No
535,No,16,0,0,Yes,No
536,No,27,0,0,Yes,No
537,No,14,0,0,Yes,No
538,No,27,0,0,Yes,No
539,Yes,31,1.5,41,Yes,No
540,No,24,0,0,No,No
541,No,29,0.5,15,Yes,No
542,Yes,29,0,4,No,No
543,No,24,0,0,Yes,No
544,No,28,0,17,Yes,No
545,Yes,26,0,14,Yes,No
546,No,28,0,0,No,No
547,Yes,27,0,0,Yes,No
548,Yes,24,0,0,Yes,No
549,No,27,0,0,No,No
550,Yes,24,0,0,Yes,No
551,Yes,24,0,0,Yes,No
552,Yes,30,2.5,0,Yes,No
553,Yes,17,0,0,No,No
554,No,14,0,0,Yes,No
555,Yes,21,0,4,No,No
556,No,22,0,0,Yes,No
557,Yes,30,1.5,13,No,No
558,Yes,21,0,0,No,No
559,Yes,31,1,11,Yes,No
560,Yes,22,0,0,Yes,No
561,Yes,23,0,0,Yes,No
562,Yes,25,0,0,Yes,No
563,Yes,25,0,0,Yes,No
564,Yes,23,0,0,No,No
565,Yes,29,2.5,11,Yes,No
566,No,22,0,0,Yes,No
567,No,26,0,0,No,No
568,Yes,32,2.5,11,Yes,No
569,Yes,25,0,0,Yes,No
570,Yes,19,0,0,Yes,No
571,Yes,29,0,4,No,No
572,No,26,1,0,Yes,No
573,Yes,31,0.5,21,Yes,No
574,Yes,31,0,10,Yes,No
575,Yes,29,4,8,Yes,No
576,No,17,0,0,Yes,No
577,Yes,27,0,0,No,No
578,Yes,24,0,0,Yes,No
579,Yes,29,0,30,Yes,No
580,No,25,0,0,Yes,No
581,Yes,19,0,0,No,No
582,No,25,0,0,Yes,No
583,Yes,24,0,0,No,No
584,Yes,24,0,0,Yes,No
585,Yes,30,0,4,Yes,No
586,No,16,0,0,Yes,Yes
587,No,23,0,0,No,No
588,Yes,25,2,4,Yes,No
589,Yes,25,0,0,Yes,No
590,Yes,14,0,0,No,No
591,Yes,21,0,0,Yes,No
592,No,21,0,0,No,No
593,Yes,23,0,0,Yes,No
594,No,29,0,4,Yes,No
595,Yes,24,0,0,Yes,No
596,Yes,33,1.75,0,Yes,No
597,Yes,23,0,0,No,No
598,Yes,27,0,7,Yes,No
599,Yes,33,0,35,Yes,No
600,Yes,27,0,0,Yes,No
601,No,29,0,0,No,No
602,No,24,0,0,No,No
603,Yes,23,1,0,Yes,No
604,No,32,0,10,Yes,No
605,Yes,19,0,0,No,No
606,Yes,29,0.5,4,Yes,No
607,No,24,0,4,No,No
608,Yes,26,0,0,Yes,No
609,No,18,0,0,No,No
610,Yes,21,0,0,Yes,No
611,No,13,0,0,Yes,Yes
612,No,30,0,0,Yes,No
613,Yes,24,0,0,Yes,No
614,Yes,25,0,0,No,No
615,Yes,29,0,25,Yes,No
616,Yes,22,0,0,No,No
617,Yes,21,0,0,Yes,No
618,Yes,27,0,0,Yes,No
619,Yes,28,0,0,No,No
